Course,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28
ANR 100**,1,1,1,1,1,1,1,1
ANR 110**,1,0,1,0,1,0,1,0
ANR 130**,0,1,0,1,0,1,0,1
ANR 201,0,0,0,1,0,0,0,1
ANR 240**,1,0,1,0,1,0,1,0
ANR 265,1,0,1,0,1,0,1,0
ANR 310,0,0,0,1,0,0,0,0
ANR 318,1,0,0,0,1,0,0,0
ANR 320,0,0,0,0,0,1,0,0
ANR 325,0,1,0,0,0,0,0,1
ANR 328,1,0,0,0,1,0,0,0
ANR 330,0,0,1,0,0,0,1,0
ANR 334,0,0,1,0,0,0,1,0
ANR 342,0,1,0,1,0,1,0,1
ANR 350,0,1,0,1,0,1,0,1
ANR 360,1,0,0,0,1,0,0,0
ANR 375**,1,0,1,0,1,0,1,0
ANR 492**,0,1,0,1,0,1,0,1
