Course,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28
AST 100,0,1,0,1,0,1
AST 122Â (HIS)**,0,0,1,0,1,0
AST 123Â (HIS)**,0,0,0,1,0,1
AST 132**,1,0,1,0,1,0
AST 135**,0,1,0,1,0,0
AST 203,0,1,1,1,1,1
AST 204Â (HHP)**,1,1,1,1,1,1
AST 206,0,0,0,1,0,1
AST 210 (PSC),0,0,0,1,0,0
AST 229Â (HIS),0,1,0,0,0,1
AST 240 (WGS),1,0,1,0,0,0
AST 243 (HIS),0,0,1,0,0,0
AST 249 (ARH),0,1,0,1,0,0
AST 260 (REL)**,0,0,1,0,0,0
AST 271 (PHI),1,0,1,0,0,0
AST 324 (HIS),0,0,1,0,0,0
AST 325A,0,1,0,0,0,0
AST 325C,0,0,0,0,0,0
AST 325J,1,0,0,0,1,0
AST 401**,1,0,1,0,1,0
