Course,Fall 22,Spr 23,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28
BIO 100,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO 110**,1,1,1,1,1,1,1,1,0,0,0,0,0
BIO 113**,1,1,1,1,1,1,1,1,0,0,0,0,0
BIO 114**,1,1,1,1,1,1,1,1,0,0,0,0,0
BIO 201**,0,1,0,0,1,1,0,1,0,0,0,0,0
BIO 202**,1,0,1,0,1,0,0,1,0,0,0,0,0
BIO 207**,0,1,0,1,0,1,0,1,0,0,0,0,0
BIO 220**,1,0,0,0,0,1,0,0,0,0,0,0,0
BIO 222**,1,1,1,1,1,1,1,1,0,0,0,0,0
BIO 306**,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO 310,0,1,0,1,0,1,0,1,0,0,0,0,0
BIO 323,1,0,0,1,1,0,0,0,0,0,0,0,0
BIO 324,1,0,0,0,0,0,0,0,0,0,0,0,0
BIO 325**,0,0,0,1,0,0,0,0,0,0,0,0,0
BIO 327,0,1,0,0,0,1,0,0,0,0,0,0,0
BIO 330**,1,0,1,0,1,0,0,1,0,0,0,0,0
BIO 331,0,1,0,0,0,1,0,0,0,0,0,0,0
BIO 332,1,0,1,0,1,0,0,1,0,0,0,0,0
BIO 338,0,1,0,1,0,1,0,1,0,0,0,0,0
BIO 342,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO 344,0,0,1,0,0,0,1,0,0,0,0,0,0
BIO 346,1,0,0,0,1,0,0,0,0,0,0,0,0
BIO 441,0,1,0,1,0,1,0,1,0,0,0,0,0
BIO 494**,1,1,1,1,1,1,1,1,0,0,0,0,0
