Course,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28
BUS 114**,1,1,1,1,1,1
BUS 120**,1,1,1,1,1,1
BUS 130**,1,1,1,1,1,1
BUS 221 (CSC),0,1,0,0,1,0
BUS 240**,1,1,1,1,1,1
BUS 257,0,0,1,0,0,1
BUS 315**,1,1,1,1,1,1
BUS 323**,0,0,1,0,0,1
BUS 324**,1,0,0,1,0,0
BUS 326**,1,0,1,0,1,0
BUS 325,0,0,0,1,0,0
BUS 327**,0,1,0,1,0,1
BUS 328 (CSC),0,0,0,0,0,1
BUS 330,0,0,1,0,0,1
BUS 336 (CSC),1,0,0,1,0,0
BUS 345,0,1,0,0,1,0
BUS 346,1,0,0,1,0,0
BUS 357 (ECO),0,0,1,0,0,1
BUS 363**,1,1,1,1,1,1
BUS 366**,1,1,1,1,1,1
BUS 367,0,1,0,0,1,0
BUS 368**,0,1,0,0,1,0
BUS 371,1,0,0,0,1,0
BUS 427,0,0,0,0,0,0
BUS 437,0,1,0,0,1,0
BUS 475**,1,1,1,1,1,1
