Course,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28
CFS 103**,1,0,1,0,1,0,1,0
CFS 115**,0,1,0,1,0,1,0,1
CFS 130**,1,1,1,1,1,1,1,1
CFS 145**,1,1,1,1,1,1,1,1
CFS 201 (SOC/WGS),0,1,0,1,0,1,0,1
CFS 207** (WGS),1,1,1,1,1,1,1,1
CFS 209 (APS),0,0,0,0,0,0,0,0
CFS 210 (EDS),1,0,1,0,1,0,1,0
CFS 221**,1,1,1,1,1,1,1,1
CFS 231 (PSY),0,1,0,1,0,1,0,1
CFS 237,0,0,0,0,0,0,0,0
CFS 238,1,0,1,0,1,0,0,0
CFS 245,0,0,0,0,0,1,0,0
CFS 248,0,1,0,0,0,1,0,0
CFS 300,0,0,1,0,0,0,0,0
CFS 313,0,1,0,0,0,1,0,0
CFS 315,0,0,0,1,0,0,0,1
CFS 317**,1,0,1,0,1,0,1,0
CFS 318 (ANR),1,0,0,0,1,0,0,0
CFS 334,0,0,0,0,0,0,0,0
CFS 353**,0,1,0,0,0,1,0,0
CFS 356,1,0,0,0,1,0,0,0
CFS 360,0,0,0,1,0,0,0,1
CFS 362,1,0,0,0,1,0,0,0
CFS 366** (WGS),0,0,1,0,0,0,1,0
CFS 370,0,1,0,0,0,1,0,0
CFS 441**,1,0,1,0,1,1,1,1
CFS 480**,1,1,1,1,1,1,1,1
