Course,Fall 22,Spr 23,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26
CHM 101**,1,1,1,1,1,1,1,1
CHM 113**,0,1,0,1,0,1,0,1
CHM 131**,1,1,1,1,1,1,1,1
CHM 221**,1,1,1,1,1,1,1,1
CHM 222**,1,1,1,1,1,1,1,1
CHM 311**,1,0,1,0,1,0,1,0
CHM 340**,0,0,1,0,1,0,1,0
CHM 345**,1,0,0,0,0,0,0,0
CHM 361**,0,0,0,1,0,1,0,1
CHM 362**,0,0,1,0,1,0,1,0
CHM 370**,1,0,1,0,1,0,1,0
CHM 371**,0,1,0,1,0,1,0,1
CHM 440**,0,1,0,1,0,1,0,1
CHM 451**,0,1,0,0,0,1,0,0
CHM 452**,0,0,0,1,0,0,0,1
CHM 470**,1,0,1,0,1,0,1,0
CHM 471**,0,1,0,1,0,1,0,1
