Course,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28,Spr 29,Fall 29,Spr 30
COM 100**,1,1,1,1,1,1,1,1
COM 104,1,0,1,0,1,0,1,0
COM 105,0,0,0,1,0,0,0,1
COM 112,0,1,0,0,0,1,0,0
COM 113Â (PSJ)**,1,0,1,0,1,0,1,0
COM 201,0,0,0,1,0,0,0,1
COM 204,0,0,0,1,0,0,0,1
COM 206,0,1,0,0,0,1,0,0
COM 207,0,0,1,0,0,0,1,0
COM 211,1,0,1,0,1,0,1,0
COM 212,0,0,0,1,0,0,0,1
COM 220**,1,1,1,1,1,1,1,1
COM 302,0,0,1,0,0,0,1,0
COM 303,0,1,0,0,0,1,0,0
COM 305Â (AFR),1,0,0,0,1,0,0,0
COM 310Â (WGS),1,0,0,0,1,0,0,0
COM 311,0,0,0,0,0,0,0,0
COM 314,0,1,0,0,0,1,0,0
COM 315,0,0,0,1,0,0,0,1
COM 410**,1,0,1,0,1,0,1,0
