Course,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28
CSC 110,0,1,0,1,0,1,0,1,0
CSC 111,1,0,1,0,1,0,1,0,1
CSC 114 (BUS),1,1,1,1,1,1,1,1,1
CSC 121,0,1,0,1,0,1,0,1,0
CSC 124,1,0,1,0,1,0,1,0,1
CSC 126,0,1,0,1,0,1,0,1,0
CSC 221 (BUS),0,1,0,0,1,0,0,0,0
CSC 328 (BUS),0,0,1,0,0,1,0,0,1
CSC 336 (BUS),1,0,0,1,0,0,1,0,0
CSC 226,1,1,1,1,1,1,1,1,1
CSC 236,1,1,1,1,1,1,1,1,1
Design,,,,,,,,,
CSC 301,0,0,0,0,0,0,0,0,0
CSC 330,0,0,0,0,0,0,0,0,0
CSC 410,0,0,0,0,0,0,0,0,0
CSC 420,0,0,0,0,0,0,0,0,0
CSC 426,0,0,0,0,0,0,0,0,0
Foundations,,,,,,,,,
CSC 303,0,0,0,0,0,0,0,0,0
CSC 433 (MAT),0,0,0,0,0,0,0,0,0
CSC 440,0,0,0,0,0,0,0,0,0
CSC 445,0,0,0,0,0,0,0,0,0
Systems,,,,,,,,,
CSC 300,0,0,0,0,0,0,0,0,0
CSC 335,0,0,0,0,0,0,0,0,0
CSC 412,0,0,0,0,0,0,0,0,0
CSC 425,0,0,0,0,0,0,0,0,0
CSC 450,0,0,0,0,0,0,0,0,0
Capstone,,,,,,,,,
CSC 493,0,1,0,1,0,1,0,1,0
