Course,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27
HHP 125**,1,1,1,1,1,0,0
HHP 207,0,0,0,0,0,0,0
HHP 233,0,1,0,0,0,0,0
HHP 244**,0,0,0,1,0,0,0
HHP 245**,1,0,1,0,0,0,0
HHP 246**,0,1,0,0,0,1,0
HHP 247**,0,0,1,0,0,0,1
HHP 248,1,0,1,1,1,0,0
HHP 249,0,1,0,1,0,0,0
HHP 250**,0,0,1,0,0,0,0
HHP 254,0,0,0,1,0,0,0
HHP 260**,1,0,1,0,1,0,0
HHP 261,0,0,0,1,0,0,0
HHP 262,0,0,0,1,0,0,0
HHP 263,0,1,0,0,0,0,0
HHP 264,1,0,1,0,1,0,0
HHP 265,1,0,0,0,1,0,0
HHP 280**,1,0,0,0,1,0,0
HHP 305,0,0,0,1,0,0,0
HHP 310,1,0,0,0,1,0,0
HHP 315**,1,0,1,0,1,0,0
HHP 345**,0,1,0,1,0,0,0
HHP 350**,1,0,1,0,1,0,0
HHP 360,0,1,0,0,0,0,0
HHP 362,0,1,0,0,0,0,0
HHP 492**,0,1,0,1,0,0,0
