Course,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28
MUS 100**,1,1,1,1,1,1
MUS 103**,1,1,1,1,1,1
MUS 106**,0,1,0,0,0,1
MUS 115**,0,1,0,1,0,1
MUS 118**,1,1,1,1,1,1
MUS 130A**,1,1,1,1,1,1
MUS 130B**,1,1,1,1,1,1
MUS 130C**,1,1,1,1,1,1
MUS 130E**,1,1,1,1,1,1
MUS 130F**,1,1,1,1,1,1
MUS 130H**,1,1,1,1,1,1
MUS 130I**,1,1,1,1,1,1
MUS 130K**,1,1,1,1,1,1
MUS 130M**,1,1,1,1,1,1
MUS 131**,1,1,1,1,1,1
MUS 132**,1,1,1,1,1,1
MUS 135**,1,1,1,1,1,1
MUS 200,1,0,0,0,1,0
MUS 220**,1,0,1,0,1,0
MUS 221**,1,0,1,0,1,0
MUS 222**,0,1,0,1,0,1
MUS 223**,0,1,0,1,0,1
MUS 224,1,1,1,1,1,1
MUS 232,0,0,0,0,0,0
MUS 234,0,1,0,0,0,1
MUS 320**,1,0,1,0,1,0
MUS 321**,1,0,1,0,1,0
MUS 322**,0,1,0,1,0,1
MUS 323**,0,1,0,1,0,1
MUS 324,1,1,1,1,1,1
MUS 326,0,0,1,0,0,0
MUS 328**,0,0,0,1,0,0
MUS 329,0,0,1,0,0,0
MUS 330**,0,0,1,0,0,0
MUS 331**,0,0,0,1,0,0
MUS 335**,1,0,0,0,1,0
MUS 336**,0,1,0,0,0,1
MUS 337**,1,0,0,0,1,0
MUS 340P,1,0,0,0,0,0
MUS 342V,0,1,0,0,0,1
MUS 400**,1,0,1,0,1,0
