Course,Fall 22,Spr 23,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26
PHI 104,0,1,1,0,0,1,0,1
PHI 106**,1,0,1,0,1,0,1,0
PHI 115,1,0,0,1,1,0,1,0
PHI 214**,1,0,0,0,1,0,0,0
PHI 215,1,0,0,0,0,1,0,0
PHI 218**,0,1,0,0,0,0,0,1
PHI 225,0,0,0,1,0,1,0,0
PHI 230,0,0,0,0,1,0,0,0
PHI 241,0,0,0,0,0,0,1,0
PHI 244,0,0,1,0,0,0,0,1
PHI 245,0,0,0,0,0,0,1,0
PHI 250,0,0,0,1,0,1,0,0
PHI 261 (WGS),0,0,0,0,1,0,0,0
PHI 271 (AST) (REL),0,0,0,0,0,0,1,0
PHI 275,0,0,0,0,0,1,0,0
PHI 281 (REL),0,0,0,0,0,0,0,1
PHI 305**,1,0,1,0,1,0,1,0
PHI 310**,0,0,0,1,0,0,0,1
PHI 315,0,1,0,0,0,1,0,0
PHI 380**,0,1,0,1,0,1,0,1
PHI 480**,0,1,0,1,0,1,0,1
