Course,Fall 22,Spr 23,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28
PSY 100**,0,0,0,0,0,0,1,1,1,1,1,1,0
PSY 207,0,0,0,0,0,0,0,1,1,0,1,0,0
PSY 208,0,0,0,0,0,0,1,0,1,0,1,0,0
PSY 209,0,0,0,0,0,0,1,0,1,0,1,0,0
PSY 210,0,0,0,0,0,0,0,0,0,0,0,0,0
PSY 211**,0,0,0,0,0,0,0,1,0,1,0,1,0
PSY 212,0,0,0,0,0,0,1,0,0,1,0,1,0
PSY 214,0,0,0,0,0,0,0,1,0,1,0,1,0
PSY 217,0,0,0,0,0,0,1,0,1,0,1,0,0
PSY 225**,0,0,0,0,0,0,1,1,1,1,1,1,0
PSY 231 (CFS),0,0,0,0,0,0,0,1,0,1,0,1,0
PSY 244,0,0,0,0,0,0,0,1,0,1,0,1,0
PSY 257,0,0,0,0,0,0,0,1,0,1,0,1,0
PSY 323,0,0,0,0,0,0,0,0,1,0,1,0,0
PSY 325**,0,0,0,0,0,0,0,1,1,1,1,1,0
PSY 424**,0,0,0,0,0,0,1,1,1,1,1,1,0
