Course,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26
THR 105**,1,1,1,1,1,1
THR 115**,1,1,1,1,1,1
THR 124**,1,1,1,1,1,1
THR 135**,1,0,1,0,1,0
THR 202,0,1,0,0,0,1
THR 213,1,0,1,0,1,0
THR 200,1,0,0,0,1,0
THR 220**,0,1,0,1,0,1
THR 227,0,1,0,0,0,1
THR 232,0,0,1,0,1,0
THR 233,0,0,0,0,1,0
THR 300**,1,1,1,1,1,1
THR 301**,1,1,1,1,1,1
THR 302**,1,1,1,1,1,1
THR 303**,1,1,1,1,1,1
THR 304**,1,1,1,1,1,1
THR 308,0,1,0,1,0,1
THR 317,1,0,1,0,1,0
THR 321,1,1,1,1,1,1
THR 327,0,0,0,0,0,1
THR 331**,0,0,0,1,0,0
THR 332,0,1,0,0,0,1
THR 400,1,1,1,1,1,1
